cost,loss,epsilon,ROC,Sens,Spec,ROCSD,SensSD,SpecSD,model
0.25,L2_primal,0.01,0.5967253968253968,0.6135,0.5369166666666667,0.21939481064797703,0.24713574860183612,0.33316108405474304,L2_Logistic_Regression
0.5,L2_primal,0.01,0.6165313492063492,0.5716190476190476,0.59475,0.22293253323639298,0.24214354007616087,0.33122691864635273,L2_Logistic_Regression
1,L2_primal,0.01,0.6353630952380952,0.5483571428571429,0.6286666666666667,0.22134679396252346,0.2339715147142806,0.3309469012993177,L2_Logistic_Regression
10,L2_primal,0.01,0.6626448412698412,0.4334523809523809,0.7036666666666667,0.2095590777493936,0.20113650442582878,0.2942457637999872,L2_Logistic_Regression
1e-6,L2_primal,0.01,0.4793273809523809,0.8228095238095238,0.15783333333333333,0.17420866533062318,0.21892720662236925,0.27391688127017555,L2_Logistic_Regression
1e-5,L2_primal,0.01,0.4793273809523809,0.8228095238095238,0.15783333333333333,0.17420866533062318,0.21892720662236925,0.27391688127017555,L2_Logistic_Regression
1e-4,L2_primal,0.01,0.4793273809523809,0.8228095238095238,0.15783333333333333,0.17420866533062318,0.21892720662236925,0.27391688127017555,L2_Logistic_Regression
0.001,L2_primal,0.01,0.4793273809523809,0.8228095238095238,0.15783333333333333,0.17420866533062318,0.21892720662236925,0.27391688127017555,L2_Logistic_Regression
0.0025,L2_primal,0.01,0.47995238095238096,0.8203095238095238,0.16033333333333333,0.172837413350351,0.21847281319306233,0.2736040657829369,L2_Logistic_Regression
0.005,L2_primal,0.01,0.48095238095238096,0.8179285714285714,0.16158333333333333,0.17225149620952918,0.22034323366909567,0.2745851014627013,L2_Logistic_Regression
0.01,L2_primal,0.01,0.4810761904761905,0.8156666666666667,0.16508333333333333,0.17362357165643816,0.22155909616890282,0.2740019068308778,L2_Logistic_Regression
0.05,L2_primal,0.01,0.4907011904761905,0.792047619047619,0.18791666666666668,0.17349349197104222,0.23069727599145243,0.2802593991657916,L2_Logistic_Regression
0.1,L2_primal,0.01,0.49402619047619045,0.7704285714285715,0.2155,0.17531325311128684,0.235864442976788,0.286892659546422,L2_Logistic_Regression
0.25,L2_primal,0.01,0.5034107142857143,0.727047619047619,0.27725,0.17446508339113767,0.24232178745727553,0.2922943831499228,L2_Logistic_Regression
0.5,L2_primal,0.01,0.5103571428571428,0.6882380952380952,0.34325,0.17783127474661567,0.2442146884353234,0.28913943388580826,L2_Logistic_Regression
1,L2_primal,0.01,0.5152940476190476,0.6531666666666667,0.38225,0.18160396718895822,0.24211809789223157,0.29452986840655837,L2_Logistic_Regression
10,L2_primal,0.01,0.5048357142857143,0.5552142857142857,0.46266666666666667,0.19244712208720352,0.243250762517846,0.30125477400527867,L2_Logistic_Regression
1e-6,L2_primal,0.01,0.4565952380952381,0.7562380952380953,0.23016666666666666,0.17448345362912726,0.25688011800256494,0.2866048684898765,L2_Logistic_Regression
1e-5,L2_primal,0.01,0.4565952380952381,0.7562380952380953,0.23016666666666666,0.17448345362912726,0.25688011800256494,0.2866048684898765,L2_Logistic_Regression
1e-4,L2_primal,0.01,0.4565952380952381,0.7562380952380953,0.23016666666666666,0.17448345362912726,0.25688011800256494,0.2866048684898765,L2_Logistic_Regression
0.001,L2_primal,0.01,0.4565952380952381,0.7562380952380953,0.23016666666666666,0.17448345362912726,0.25688011800256494,0.2866048684898765,L2_Logistic_Regression
0.0025,L2_primal,0.01,0.45663690476190477,0.7537380952380952,0.23308333333333334,0.1749941187040737,0.2569289022866603,0.28575659708042794,L2_Logistic_Regression
0.005,L2_primal,0.01,0.45746825396825397,0.7520714285714286,0.23725,0.17524970433008755,0.2574905156930967,0.2854853610983437,L2_Logistic_Regression
0.01,L2_primal,0.01,0.45856349206349206,0.7478571428571429,0.24075,0.17504151742975285,0.25640431283524756,0.2875933441553485,L2_Logistic_Regression
0.05,L2_primal,0.01,0.4698277777777778,0.6987380952380953,0.2801666666666667,0.17090061862300848,0.2495764835287898,0.2951941037785804,L2_Logistic_Regression
0.1,L2_primal,0.01,0.479131746031746,0.656952380952381,0.3135833333333333,0.1714543920566082,0.24588957391982327,0.2973598581847111,L2_Logistic_Regression
0.25,L2_primal,0.01,0.4925753968253968,0.5926666666666667,0.37216666666666665,0.16995294335323968,0.24011673076715653,0.2884144355879222,L2_Logistic_Regression
0.5,L2_primal,0.01,0.4960202380952381,0.5513571428571429,0.434,0.16684920218373084,0.22494930433105076,0.29508272316759665,L2_Logistic_Regression
1,L2_primal,0.01,0.5026769841269841,0.5261904761904762,0.4826666666666667,0.1650437847648135,0.2066952142895554,0.29287004681532053,L2_Logistic_Regression
10,L2_primal,0.01,0.4873876984126984,0.49304761904761907,0.49333333333333335,0.15961107608624425,0.17962437590379776,0.2804389555979377,L2_Logistic_Regression
1e-6,L2_primal,0.01,0.3923630952380952,0.7162857142857143,0.264,0.1732388292481247,0.26159822823883233,0.2877910247474397,L2_Logistic_Regression
1e-5,L2_primal,0.01,0.3923630952380952,0.7162857142857143,0.264,0.1732388292481247,0.26159822823883233,0.2877910247474397,L2_Logistic_Regression
