cost,loss,epsilon,ROC,Sens,Spec,ROCSD,SensSD,SpecSD,model
0.05,L2_primal,0.01,0.5809616071428572,0.38516666666666666,0.7436488095238095,0.15868167759454896,0.2549771997995973,0.16069606206447093,L2_Logistic_Regression
0.1,L2_primal,0.01,0.582361507936508,0.38975,0.7331547619047619,0.1557680781274839,0.25223555179667495,0.1565845945740585,L2_Logistic_Regression
0.25,L2_primal,0.01,0.5905837301587301,0.4344166666666667,0.692875,0.1558673489688872,0.2491755108988725,0.16920125528391095,L2_Logistic_Regression
0.5,L2_primal,0.01,0.5971898809523809,0.45966666666666667,0.6801428571428572,0.15784382525717053,0.2413804982739016,0.17308990332228366,L2_Logistic_Regression
1,L2_primal,0.01,0.6065155753968254,0.4800833333333333,0.6648333333333333,0.15835303948343082,0.23211994567298494,0.18119028988245633,L2_Logistic_Regression
10,L2_primal,0.01,0.6243867063492063,0.50175,0.6436547619047619,0.1581870966972804,0.2393598240076372,0.1933995909712604,L2_Logistic_Regression
1e-6,L2_primal,0.01,0.4424200396825397,0.336,0.6681845238095238,0.14844350632584627,0.23075532034411111,0.20827977424897773,L2_Logistic_Regression
1e-5,L2_primal,0.01,0.4424200396825397,0.336,0.6681845238095238,0.14844350632584627,0.23075532034411111,0.20827977424897773,L2_Logistic_Regression
1e-4,L2_primal,0.01,0.4424200396825397,0.336,0.6681845238095238,0.14844350632584627,0.23075532034411111,0.20827977424897773,L2_Logistic_Regression
0.001,L2_primal,0.01,0.44152380952380954,0.33175,0.6721011904761904,0.1485854028811289,0.23232972427497564,0.20908543957299286,L2_Logistic_Regression
0.0025,L2_primal,0.01,0.4414127976190476,0.33175,0.6748571428571428,0.14703254091275614,0.23146293597773912,0.20887640085900494,L2_Logistic_Regression
0.005,L2_primal,0.01,0.4405678571428571,0.327,0.6764940476190476,0.14756082657738687,0.22948221765285462,0.20920538429659324,L2_Logistic_Regression
0.01,L2_primal,0.01,0.442596626984127,0.3154166666666667,0.6783511904761905,0.14897295367894742,0.22278713616409948,0.20752039722457744,L2_Logistic_Regression
0.05,L2_primal,0.01,0.44620208333333333,0.2930833333333333,0.6768452380952381,0.14523066987212505,0.22452429705156446,0.20924741356063395,L2_Logistic_Regression
0.1,L2_primal,0.01,0.45157053571428574,0.3060833333333333,0.6567440476190476,0.1453132105065767,0.22822340517330833,0.21719874232246733,L2_Logistic_Regression
0.25,L2_primal,0.01,0.45606071428571426,0.33775,0.6375297619047618,0.140996309890954,0.22853695269978128,0.21794069708946082,L2_Logistic_Regression
0.5,L2_primal,0.01,0.46126378968253967,0.37166666666666665,0.6168035714285715,0.1439965718771162,0.2289672880212541,0.21733457508473464,L2_Logistic_Regression
1,L2_primal,0.01,0.4693465277777778,0.39125,0.5972559523809524,0.14380176358245675,0.22567559406740745,0.21965693931580016,L2_Logistic_Regression
10,L2_primal,0.01,0.49110873015873013,0.42841666666666667,0.5589940476190476,0.13982036038052226,0.21715765461297296,0.20760455025867616,L2_Logistic_Regression
1e-6,L2_primal,0.01,0.8066295634920635,0.6900000000000001,0.778422619047619,0.12630352253790122,0.25655558953034524,0.2004436908323312,L2_Logistic_Regression
1e-5,L2_primal,0.01,0.8066295634920635,0.6900000000000001,0.778422619047619,0.12630352253790122,0.25655558953034524,0.2004436908323312,L2_Logistic_Regression
1e-4,L2_primal,0.01,0.8066295634920635,0.6900000000000001,0.778422619047619,0.12630352253790122,0.25655558953034524,0.2004436908323312,L2_Logistic_Regression
0.001,L2_primal,0.01,0.8067962301587301,0.6900000000000001,0.778422619047619,0.12618404639344435,0.25655558953034524,0.2004436908323312,L2_Logistic_Regression
0.0025,L2_primal,0.01,0.8062263888888889,0.6909166666666666,0.7797916666666667,0.12584514712067812,0.25178202121839816,0.19850688096289515,L2_Logistic_Regression
0.005,L2_primal,0.01,0.8053930555555555,0.6878333333333333,0.7779583333333333,0.12582297390367633,0.2463905263139929,0.1980148511781489,L2_Logistic_Regression
0.01,L2_primal,0.01,0.8031496031746032,0.6861666666666667,0.7756190476190477,0.12415977651885646,0.23843495625441005,0.19736593401858657,L2_Logistic_Regression
0.05,L2_primal,0.01,0.8050092261904762,0.7000833333333334,0.766922619047619,0.12123442771868904,0.21631847747305147,0.19286902869659903,L2_Logistic_Regression
0.1,L2_primal,0.01,0.8045572420634921,0.7253333333333334,0.7638511904761904,0.1170173165849258,0.19320506343842747,0.17835031287065595,L2_Logistic_Regression
0.25,L2_primal,0.01,0.8089693452380953,0.7424166666666667,0.7354940476190476,0.11071548199115208,0.17894315262245558,0.17829475565470507,L2_Logistic_Regression
0.5,L2_primal,0.01,0.8076375,0.74675,0.7143273809523809,0.10864703257639231,0.1705469368745017,0.1827429473584421,L2_Logistic_Regression
1,L2_primal,0.01,0.8067020833333334,0.7485,0.687125,0.10804588409560675,0.1626500080714051,0.1915711334232136,L2_Logistic_Regression
10,L2_primal,0.01,0.8029977182539683,0.7398333333333333,0.6483333333333333,0.10396558427467127,0.16514202134480194,0.1974961561864655,L2_Logistic_Regression
1e-6,L2_primal,0.01,0.6160656746031746,0.47625,0.7151190476190477,0.16634604465656985,0.31565976522412736,0.19628641335060487,L2_Logistic_Regression
1e-5,L2_primal,0.01,0.6160656746031746,0.47625,0.7151190476190477,0.16634604465656985,0.31565976522412736,0.19628641335060487,L2_Logistic_Regression
1e-4,L2_primal,0.01,0.6160656746031746,0.47625,0.7151190476190477,0.16634604465656985,0.31565976522412736,0.19628641335060487,L2_Logistic_Regression
0.001,L2_primal,0.01,0.6150086309523809,0.47625,0.7173809523809523,0.16602955366077546,0.31565976522412736,0.19641600821274083,L2_Logistic_Regression
0.0025,L2_primal,0.01,0.6152076388888889,0.47541666666666665,0.7172619047619048,0.165790213754407,0.31669944950646756,0.19652660217780304,L2_Logistic_Regression
0.005,L2_primal,0.01,0.6153749007936508,0.4693333333333333,0.7229821428571428,0.1652092412004714,0.3150622318504422,0.1900967294927196,L2_Logistic_Regression
0.01,L2_primal,0.01,0.6138191468253968,0.4628333333333333,0.7290833333333333,0.1659989627445157,0.3151608825814964,0.18809680976562204,L2_Logistic_Regression
0.05,L2_primal,0.01,0.6120899801587302,0.43616666666666665,0.7572261904761904,0.15887336974569774,0.28712902412256935,0.1778493621030203,L2_Logistic_Regression
0.1,L2_primal,0.01,0.6153464285714286,0.434,0.7509523809523809,0.15685810246468143,0.273191939569776,0.18397495738587313,L2_Logistic_Regression
0.25,L2_primal,0.01,0.6193845238095238,0.4735,0.7236607142857143,0.153982694051104,0.2569697898978717,0.1914909607942275,L2_Logistic_Regression
0.5,L2_primal,0.01,0.6242282738095238,0.5046666666666667,0.7013333333333334,0.1510816295048113,0.2408467289488022,0.19150433511585938,L2_Logistic_Regression
1,L2_primal,0.01,0.6311585317460318,0.5321666666666667,0.6751666666666667,0.1506395930699521,0.23615493073852203,0.18646366806057238,L2_Logistic_Regression
10,L2_primal,0.01,0.6402287698412699,0.564,0.6358511904761904,0.14656024488417793,0.22162185791613076,0.19256305430053453,L2_Logistic_Regression
1e-6,L2_primal,0.01,0.613099503968254,0.5679166666666666,0.6494107142857143,0.14225188580583892,0.2836407707347516,0.1836343372898138,L2_Logistic_Regression
1e-5,L2_primal,0.01,0.613099503968254,0.5679166666666666,0.6494107142857143,0.14225188580583892,0.2836407707347516,0.1836343372898138,L2_Logistic_Regression
1e-4,L2_primal,0.01,0.613099503968254,0.5679166666666666,0.6494107142857143,0.14225188580583892,0.2836407707347516,0.1836343372898138,L2_Logistic_Regression
0.001,L2_primal,0.01,0.6132661706349206,0.5686666666666667,0.6495297619047619,0.14209890338764508,0.28219329219470707,0.18259547873238238,L2_Logistic_Regression
0.0025,L2_primal,0.01,0.6129983134920635,0.5688333333333333,0.6495297619047619,0.1425308642171298,0.2781966635036977,0.18259547873238238,L2_Logistic_Regression
0.005,L2_primal,0.01,0.613583630952381,0.5690833333333334,0.6530416666666666,0.1429465239210931,0.2772521982005466,0.17973255337774627,L2_Logistic_Regression
